airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,duration_min,price
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1,No Info,1285,11467
Indigo,2019-03-15,Delhi,Cochin,05:35:00,08:50:00,0,No Info,195,5406
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,1,No Info,755,10276
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,21:00:00,1,No Info,810,8475
Jet Airways,2019-05-18,Banglore,New Delhi,11:10:00,14:05:00,0,No Info,175,7229
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,0,No Info,160,7229
Air India,2019-05-21,Delhi,Cochin,17:20:00,09:25:00,1,No Info,965,7480
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,04:25:00,1,No Info,925,14714
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,2,No Info,810,13014
Vistara,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,0,No Info,140,11982
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,2,No Info,1295,13292
Indigo,2019-03-01,Banglore,New Delhi,08:30:00,11:30:00,0,No Info,180,10067
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,0,No Info,170,4944
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,1,No Info,805,27992
Indigo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,1,No Info,290,4775
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1,In-flight meal not included,1690,7757
Air Asia,2019-05-03,Banglore,New Delhi,11:10:00,13:55:00,0,No Info,165,4483
Air India,2019-03-06,Delhi,Cochin,21:30:00,19:15:00,2,No Info,1305,11552
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1,In-flight meal not included,1010,12898
Air India,2019-05-18,Delhi,Cochin,19:45:00,19:15:00,2,No Info,1410,10651
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,0,No Info,150,4804
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,1,No Info,345,14231
Air India,2019-05-27,Delhi,Cochin,13:30:00,23:00:00,1,No Info,570,8907
Air Asia,2019-05-21,Kolkata,Banglore,22:50:00,01:20:00,0,No Info,150,4107
Jet Airways,2019-04-27,Banglore,New Delhi,17:45:00,20:45:00,0,In-flight meal not included,180,4544
Indigo,2019-03-24,Kolkata,Banglore,05:30:00,08:20:00,0,No Info,170,4778
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,0,In-flight meal not included,90,2071
Multiple Carriers,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,1,No Info,440,11200
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,1,In-flight meal not included,450,10262
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,145,4491
Indigo,2019-05-01,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,4332
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,2,No Info,865,13039
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1,In-flight meal not included,1680,10262
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,0,In-flight meal not included,195,7202
Spicejet,2019-06-09,Delhi,Cochin,17:55:00,22:50:00,1,No Info,295,5409
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,1,No Info,780,7408
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1,No Info,1685,13067
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,1,In-flight meal not included,425,9899
Goair,2019-05-27,Delhi,Cochin,07:00:00,12:55:00,1,No Info,355,5752
Jet Airways,2019-06-12,Banglore,New Delhi,08:20:00,11:20:00,0,No Info,180,8016
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,2,No Info,970,6057
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,2,No Info,955,11458
Spicejet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,0,No check-in baggage included,90,1965
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,1,In-flight meal not included,600,10262
Vistara ,2019-03-03,Banglore,New Delhi,16:00:00,18:35:00,0,No Info,155,11793
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,1,No Info,745,12080
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,1,No Info,925,7893
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,0,No Info,90,16000
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,1,No Info,220,5162
Air India,2019-03-03,Banglore,New Delhi,00:30:00,08:45:00,1,No Info,495,11392
Goair,2019-05-18,Banglore,New Delhi,11:40:00,14:30:00,0,No Info,170,4340
Air Asia,2019-04-06,Kolkata,Banglore,22:50:00,01:20:00,0,No Info,150,3807
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,0,No check-in baggage included,135,3543
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,1,No Info,660,9718
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,12:35:00,1,In-flight meal not included,620,12898
Indigo,2019-06-15,Mumbai,Hyderabad,06:25:00,07:55:00,0,No Info,90,4049
Spicejet,2019-06-09,Banglore,New Delhi,21:10:00,00:05:00,0,No Info,175,3971
Spicejet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,0,No Info,90,2753
Air India,2019-03-01,Banglore,New Delhi,10:30:00,17:45:00,2,Change airports,435,17461
Multiple Carriers,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,1,No Info,630,13727
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,1,No Info,660,10407
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,1,No Info,840,14151
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,1,No Info,800,14388
Indigo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,0,No Info,165,4804
Air India,2019-03-12,Banglore,New Delhi,08:50:00,16:20:00,2,No Info,1890,12778
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,0,No Info,145,7295
Jet Airways,2019-06-12,Banglore,New Delhi,08:20:00,11:20:00,0,In-flight meal not included,180,5769
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,0,No check-in baggage included,90,2385
Air India,2019-03-15,Banglore,New Delhi,08:15:00,08:50:00,1,No Info,1475,5521
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,90,1965
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,1,No Info,965,8452
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,1,No Info,915,6916
Multiple Carriers,2019-06-24,Delhi,Cochin,07:00:00,21:00:00,1,No Info,840,7618
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,11:25:00,1,In-flight meal not included,340,11087
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,19:10:00,1,No Info,670,16736
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,0,No Info,170,5201
Indigo,2019-06-15,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,175,4823
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,1,No Info,620,14714
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1,In-flight meal not included,1430,8586
Air India,2019-05-09,Delhi,Cochin,07:00:00,19:15:00,1,No Info,735,8669
Air India,2019-04-18,Banglore,New Delhi,21:05:00,23:55:00,0,No Info,170,5228
Air India,2019-03-03,Delhi,Cochin,19:00:00,07:40:00,1,No Info,760,14777
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,21:00:00,1,No Info,780,14277
Air India,2019-06-12,Kolkata,Banglore,05:50:00,23:15:00,2,No Info,1045,12723
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,2,No Info,560,15129
Jet Airways,2019-06-09,Delhi,Cochin,16:00:00,04:25:00,1,In-flight meal not included,745,10577
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,0,No check-in baggage included,175,3873
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1,In-flight meal not included,1485,10577
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,1,No Info,910,13941
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,1,In-flight meal not included,665,8849
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,04:25:00,2,No Info,1375,15129
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,1,No check-in baggage included,270,6356
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,12:00:00,1,In-flight meal not included,1025,10844
Air India,2019-05-27,Delhi,Cochin,06:50:00,07:40:00,2,No Info,1490,16163
Indigo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,0,No Info,95,2227
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,1,In-flight meal not included,395,10262
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1,No Info,1480,14151
Jet Airways,2019-06-27,Delhi,Cochin,22:50:00,12:35:00,1,In-flight meal not included,825,10262
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,90,2647
Indigo,2019-03-24,Chennai,Kolkata,07:55:00,10:15:00,0,No Info,140,4326
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1,In-flight meal not included,1170,11087
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,1,No Info,345,13626
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,07:40:00,1,In-flight meal not included,1200,7832
Indigo,2019-06-24,Kolkata,Banglore,04:40:00,07:15:00,0,No Info,155,4804
Vistara,2019-06-18,Banglore,New Delhi,09:45:00,12:35:00,0,No Info,170,4668
Goair,2019-05-18,Banglore,New Delhi,20:55:00,23:40:00,0,No Info,165,4632
Air India,2019-05-24,Banglore,New Delhi,21:05:00,23:55:00,0,No Info,170,5228
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,10:05:00,1,In-flight meal not included,845,8586
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,19:10:00,1,In-flight meal not included,1355,11087
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,18:25:00,1,No Info,405,12284
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1,No Info,1065,9187
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1,In-flight meal not included,1655,12898
Indigo,2019-05-27,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,175,4823
Indigo,2019-06-27,Kolkata,Banglore,09:35:00,12:10:00,0,No Info,155,4804
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1,No Info,1570,15029
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,0,No Info,190,6216
Air India,2019-05-06,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,6121
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1,No Info,1560,12395
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,0,No Info,160,4622
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,1,No check-in baggage included,270,5158
Indigo,2019-05-15,Delhi,Cochin,10:35:00,21:00:00,1,No Info,625,6979
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,18:15:00,1,In-flight meal not included,1545,10844
Air India,2019-05-24,Mumbai,Hyderabad,06:20:00,07:40:00,0,No Info,80,3100
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,1,No Info,440,12327
Spicejet,2019-05-01,Kolkata,Banglore,11:35:00,18:50:00,1,No Info,435,8479
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,1,In-flight meal not included,395,10262
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,1,No Info,660,12402
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,1,No Info,680,15411
Spicejet,2019-03-24,Kolkata,Banglore,11:15:00,18:15:00,1,No Info,420,12287
Goair,2019-06-18,Banglore,New Delhi,07:45:00,10:40:00,0,No Info,175,3419
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,2,No Info,1210,13349
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,2,No Info,1295,13292
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,05:05:00,1,No Info,1045,13555
Jet Airways,2019-06-12,Banglore,New Delhi,07:10:00,10:10:00,0,In-flight meal not included,180,5769
Spicejet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,0,No Info,90,2017
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,19:45:00,1,No Info,1665,17024
Air India,2019-03-06,Mumbai,Hyderabad,19:30:00,20:45:00,0,No Info,75,5462
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,19:15:00,1,No Info,535,15353
Air India,2019-06-12,Delhi,Cochin,07:10:00,19:15:00,2,No Info,725,12488
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,1,No Info,575,6979
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,2,No Info,910,13292
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,2,No Info,1275,11228
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1,No Info,1185,12173
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,1,In-flight meal not included,715,10262
Jet Airways,2019-05-09,Banglore,New Delhi,08:20:00,11:20:00,0,No Info,180,7229
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,19:15:00,1,No Info,555,14848
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,0,No check-in baggage included,175,6205
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,2,No Info,970,14960
Vistara,2019-05-27,Banglore,New Delhi,07:00:00,09:40:00,0,No Info,160,4668
Jet Airways,2019-05-24,Delhi,Cochin,19:10:00,19:00:00,2,No Info,1430,15129
Jet Airways,2019-05-12,Mumbai,Hyderabad,07:05:00,08:30:00,0,In-flight meal not included,85,4050
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,1,No Info,440,7845
Spicejet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,0,No Info,160,4148
Air Asia,2019-04-03,Kolkata,Banglore,19:55:00,22:25:00,0,No Info,150,4107
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,0,No Info,155,6565
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1,In-flight meal not included,1165,12898
Spicejet,2019-05-27,Banglore,New Delhi,09:30:00,12:20:00,0,No Info,170,3625
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,21:20:00,2,No Info,495,6128
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,135,3687
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,0,No check-in baggage included,150,3841
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,90,2647
Indigo,2019-03-21,Delhi,Cochin,07:45:00,13:40:00,1,No Info,355,6101
Indigo,2019-03-27,Delhi,Cochin,08:25:00,15:30:00,1,No Info,425,8075
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,0,No Info,170,5734
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,1,No Info,590,12032
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,04:25:00,1,No Info,1570,17024
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,22:05:00,1,No Info,750,14151
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,2,In-flight meal not included,1615,10368
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,3858
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,0,No check-in baggage included,145,3841
Air India,2019-03-15,Mumbai,Hyderabad,06:20:00,07:40:00,0,No Info,80,3100
Indigo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,0,No Info,140,7295
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,2,No Info,1595,9653
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,1,No Info,925,8669
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1,In-flight meal not included,1325,12898
Indigo,2019-04-01,Banglore,New Delhi,13:00:00,15:50:00,0,No Info,170,4591
Indigo,2019-05-12,Chennai,Kolkata,05:15:00,07:40:00,0,No Info,145,3540
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,1,In-flight meal not included,450,10262
Air India,2019-05-09,Delhi,Cochin,05:00:00,07:40:00,2,No Info,1600,11281
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,00:45:00,1,No Info,365,54826
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,1,No Info,710,5192
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,21:20:00,1,No Info,745,16736
Indigo,2019-05-03,Kolkata,Banglore,04:40:00,07:15:00,0,No Info,155,4804
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,0,No Info,155,4409
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,0,No Info,135,3670
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,21:00:00,1,No Info,640,7670
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,15:30:00,1,No Info,510,15603
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,0,No check-in baggage included,145,3841
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,0,No Info,85,17501
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,1,No Info,545,9646
Indigo,2019-06-01,Delhi,Cochin,05:10:00,10:05:00,1,No Info,295,6842
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,18:50:00,1,No Info,890,11299
Spicejet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,1,No Info,270,5264
Air India,2019-03-24,Kolkata,Banglore,07:00:00,01:20:00,2,No Info,1100,13428
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,22:35:00,1,No Info,510,14571
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,1,No Info,450,14714
Air India,2019-05-01,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,165,6121
Jet Airways,2019-06-12,Delhi,Cochin,20:00:00,04:25:00,2,In-flight meal not included,505,12410
Air India,2019-05-15,Delhi,Cochin,03:50:00,19:15:00,1,No Info,925,8669
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:25:00,1,No Info,930,13817
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,165,4777
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,1,No Info,865,9187
Indigo,2019-03-24,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,4332
Air India,2019-06-12,Kolkata,Banglore,12:00:00,18:30:00,2,No Info,1830,9416
Spicejet,2019-03-27,Mumbai,Hyderabad,13:10:00,14:30:00,0,No Info,80,2017
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,1,No Info,540,14714
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,1,No Info,675,14848
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,1,No Info,450,15554
Air India,2019-03-15,Banglore,New Delhi,11:50:00,11:35:00,1,No Info,1425,6982
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,1,No Info,450,14714
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,1,No Info,705,8266
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,0,In-flight meal not included,90,3210
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,1,No Info,860,8784
Jet Airways,2019-04-12,Banglore,New Delhi,08:20:00,11:20:00,0,No Info,180,7229
Air Asia,2019-05-15,Kolkata,Banglore,19:55:00,22:25:00,0,No Info,150,4409
Air India,2019-05-09,Delhi,Cochin,06:05:00,09:25:00,1,No Info,1640,7480
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,1,In-flight meal not included,690,10703
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,0,No Info,90,2754
Indigo,2019-05-01,Kolkata,Banglore,20:20:00,22:55:00,0,No Info,155,4804
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,0,No Info,150,4409
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2,No Info,2065,12723
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,2,No Info,1100,13538
Spicejet,2019-04-18,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,175,5515
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,1,No Info,435,8479
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1,No Info,1005,14151
Air India,2019-06-01,Banglore,New Delhi,13:20:00,16:10:00,0,No Info,170,6961
Indigo,2019-03-15,Banglore,New Delhi,16:55:00,21:50:00,1,No Info,295,5397
Jet Airways,2019-04-15,Banglore,New Delhi,15:15:00,18:10:00,0,In-flight meal not included,175,4544
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1,No Info,1350,8366
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,1,No Info,560,7005
Indigo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,0,No Info,140,3597
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,10:05:00,1,In-flight meal not included,775,9663
Vistara,2019-06-09,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,155,4878
Air India,2019-05-18,Delhi,Cochin,05:10:00,08:00:00,0,No Info,170,6934
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,09:20:00,1,In-flight meal not included,865,9663
Air India,2019-05-24,Kolkata,Banglore,09:50:00,12:30:00,2,No Info,1600,15170
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,19:10:00,1,No Info,805,16736
