airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price,duration_min
Air India,2019-04-03,Delhi,Cochin,06:05:00,09:25:00,1,No Info,5117,1640
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:00:00,1,No Info,12524,615
Indigo,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,1,No Info,7191,630
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,3687,135
Indigo,2019-06-24,Delhi,Cochin,10:35:00,21:00:00,1,No Info,5894,625
Vistara,2019-04-24,Banglore,New Delhi,09:45:00,12:35:00,0,No Info,5403,170
Air India,2019-05-06,Mumbai,Hyderabad,13:55:00,15:25:00,0,No Info,3625,90
Air India,2019-05-21,Delhi,Cochin,05:55:00,19:15:00,2,No Info,10861,800
Indigo,2019-03-12,Chennai,Kolkata,13:20:00,15:35:00,0,No Info,6297,135
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,0,No Info,5678,85
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,08:15:00,1,In-flight meal not included,9134,1590
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,1,In-flight meal not included,10791,440
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,12:35:00,2,No Info,12819,810
Indigo,2019-03-21,Delhi,Cochin,05:05:00,10:05:00,1,No Info,6893,300
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,0,No Info,7240,165
Goair,2019-04-03,Banglore,New Delhi,11:40:00,14:30:00,0,No Info,3898,170
Indigo,2019-04-03,Mumbai,Hyderabad,06:25:00,07:55:00,0,No Info,4049,90
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,12:35:00,1,In-flight meal not included,10262,1145
Spicejet,2019-03-21,Chennai,Kolkata,08:20:00,10:35:00,0,No check-in baggage included,3332,135
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,1,In-flight meal not included,10844,890
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0,No Info,7229,160
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,04:40:00,1,No Info,13941,1330
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,1,No Info,5894,575
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:00:00,1,No Info,10197,600
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,11:25:00,1,In-flight meal not included,13712,1280
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:25:00,1,No Info,5636,325
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,2,No Info,13014,1125
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,1,In-flight meal not included,7064,740
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,14:25:00,1,In-flight meal not included,10703,1080
Multiple Carriers,2019-05-27,Delhi,Cochin,13:15:00,22:30:00,1,No Info,9646,555
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,13:20:00,1,No Info,17057,665
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,10:25:00,1,No Info,13817,1050
Air India,2019-03-06,Delhi,Cochin,05:55:00,19:15:00,2,No Info,13748,800
Air India,2019-04-21,Kolkata,Banglore,20:45:00,23:20:00,0,No Info,4880,155
Indigo,2019-06-21,Chennai,Kolkata,05:15:00,07:40:00,0,No Info,3540,145
Spicejet,2019-05-15,Banglore,New Delhi,05:55:00,08:35:00,0,No check-in baggage included,3257,160
Jet Airways,2019-06-03,Banglore,New Delhi,19:50:00,22:50:00,0,In-flight meal not included,6478,180
Jet Airways,2019-06-18,Mumbai,Hyderabad,07:05:00,08:30:00,0,No Info,8040,85
Jet Airways,2019-06-12,Delhi,Cochin,20:00:00,12:35:00,2,No Info,14300,995
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,1,No Info,14781,740
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,1,No Info,14939,735
Jet Airways,2019-06-24,Delhi,Cochin,20:55:00,04:25:00,1,In-flight meal not included,10262,450
Air India,2019-05-12,Kolkata,Banglore,14:35:00,14:35:00,1,No Info,6528,1440
Air India,2019-05-01,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,6121,165
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,04:25:00,2,In-flight meal not included,13029,535
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,18:50:00,1,No Info,11421,430
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,1,No Info,7574,870
Air India,2019-05-09,Delhi,Cochin,12:55:00,19:15:00,2,No Info,11596,1820
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,19:00:00,2,No Info,15129,1195
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,05:05:00,1,No Info,13555,900
Indigo,2019-04-12,Banglore,New Delhi,18:55:00,21:50:00,0,No Info,5780,175
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,09:05:00,1,No Info,9397,765
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,04:25:00,1,No Info,17024,610
Goair,2019-06-27,Delhi,Cochin,07:00:00,12:55:00,1,No Info,5281,355
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,22:30:00,1,No Info,10348,925
Air India,2019-03-06,Delhi,Cochin,17:20:00,09:25:00,1,No Info,12677,965
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,1,No Info,15147,610
Vistara,2019-06-12,Banglore,New Delhi,07:00:00,09:40:00,0,No Info,4668,160
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,19:00:00,1,No Info,15554,715
Spicejet,2019-04-09,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,3971,160
Air India,2019-05-03,Mumbai,Hyderabad,15:00:00,16:25:00,0,No Info,3100,85
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,10:05:00,1,In-flight meal not included,9663,845
Air India,2019-03-01,Delhi,Cochin,23:00:00,19:15:00,1,No Info,27430,1215
Indigo,2019-05-12,Chennai,Kolkata,05:15:00,07:40:00,0,No Info,3540,145
Air India,2019-05-21,Kolkata,Banglore,12:00:00,11:10:00,2,No Info,10676,1390
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,08:15:00,1,No Info,13044,1090
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,12:00:00,1,No Info,14388,960
Indigo,2019-06-24,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,3943,170
Indigo,2019-06-03,Chennai,Kolkata,14:45:00,17:05:00,0,No Info,3597,140
Air India,2019-03-21,Banglore,New Delhi,11:50:00,19:50:00,1,No Info,5932,480
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,04:25:00,1,In-flight meal not included,10262,1015
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,0,No Info,6216,190
Indigo,2019-06-15,Kolkata,Banglore,20:25:00,23:10:00,0,No Info,4804,165
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,01:30:00,1,No Info,14067,840
Jet Airways,2019-05-18,Delhi,Cochin,19:10:00,19:00:00,2,No Info,15129,1430
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,2,No Info,13376,1300
Air India,2019-06-27,Delhi,Cochin,22:00:00,19:15:00,2,No Info,10441,1275
Jet Airways,2019-05-24,Banglore,New Delhi,06:00:00,08:45:00,0,In-flight meal not included,4030,165
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,1,No Info,17024,650
Multiple Carriers,2019-04-09,Delhi,Cochin,17:30:00,01:30:00,1,No Info,13017,480
Goair,2019-06-06,Kolkata,Banglore,23:30:00,07:45:00,1,No Info,6686,495
Indigo,2019-06-15,Delhi,Cochin,02:00:00,07:25:00,1,No Info,5636,325
Indigo,2019-06-09,Delhi,Cochin,07:35:00,16:10:00,1,No Info,6442,515
Multiple Carriers,2019-05-21,Delhi,Cochin,13:05:00,00:55:00,1,No Info,9486,710
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,23:35:00,1,In-flight meal not included,10844,1655
Jet Airways,2019-06-03,Delhi,Cochin,20:00:00,04:25:00,2,In-flight meal not included,15318,505
Air India,2019-04-03,Delhi,Cochin,12:30:00,09:25:00,1,No Info,5117,1255
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,1,No Info,6147,290
Multiple Carriers,2019-06-09,Delhi,Cochin,12:50:00,21:00:00,1,No Info,7005,490
Spicejet,2019-04-03,Kolkata,Banglore,22:20:00,00:40:00,0,No Info,3873,140
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,2,In-flight meal not included,9270,1465
Goair,2019-06-27,Banglore,New Delhi,11:40:00,14:30:00,0,No Info,3898,170
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,20:45:00,1,No Info,14781,740
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,08:15:00,1,In-flight meal not included,8586,735
Air India,2019-05-09,Kolkata,Banglore,08:20:00,07:55:00,2,No Info,10697,1415
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,12:35:00,2,No Info,14300,995
Indigo,2019-03-03,Banglore,New Delhi,18:55:00,21:45:00,0,No Info,8855,170
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,18:15:00,1,In-flight meal not included,10844,1545
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,04:25:00,1,No Info,17024,1570
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1,In-flight meal not included,9314,1730
Indigo,2019-03-24,Banglore,New Delhi,00:40:00,03:25:00,0,No Info,4777,165
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1,No Info,7662,1515
Indigo,2019-05-09,Delhi,Cochin,06:50:00,16:10:00,1,No Info,6442,560
Spicejet,2019-06-12,Delhi,Cochin,08:45:00,13:15:00,1,No Info,5264,270
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,04:25:00,1,In-flight meal not included,12898,925
Air India,2019-03-03,Mumbai,Hyderabad,13:55:00,15:25:00,0,No Info,6092,90
Spicejet,2019-05-21,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,3311,160
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,04:25:00,1,In-flight meal not included,6540,550
Indigo,2019-05-27,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,3419,165
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,12:35:00,1,In-flight meal not included,5177,1355
Air India,2019-04-18,Delhi,Cochin,18:05:00,21:10:00,0,No Info,8246,185
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,1,No Info,14676,690
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,21:00:00,1,No Info,13587,570
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,09:20:00,1,In-flight meal not included,9663,730
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1,No Info,13044,1055
Indigo,2019-04-03,Delhi,Cochin,20:25:00,01:30:00,1,No Info,5073,305
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,18:50:00,1,No Info,9345,1550
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1,In-flight meal not included,9663,1200
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,21:00:00,1,No Info,14277,780
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,04:25:00,1,In-flight meal not included,10262,1105
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,0,No Info,5678,90
Multiple Carriers,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,1,No Info,13727,570
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,12:00:00,1,In-flight meal not included,9663,960
Indigo,2019-05-12,Chennai,Kolkata,14:45:00,17:05:00,0,No Info,3858,140
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,1,No Info,4812,270
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,1,No Info,5775,345
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,09:45:00,1,In-flight meal not included,10539,1450
Indigo,2019-06-03,Kolkata,Banglore,15:30:00,18:05:00,0,No Info,4804,155
Air Asia,2019-06-12,Banglore,New Delhi,11:10:00,13:55:00,0,No Info,3383,165
Indigo,2019-03-03,Banglore,New Delhi,12:10:00,17:05:00,1,No Info,8738,295
Air India,2019-03-27,Delhi,Cochin,05:15:00,06:50:00,1,No Info,7165,1535
Indigo,2019-06-24,Delhi,Cochin,16:10:00,22:30:00,1,No Info,6412,380
Jet Airways,2019-06-27,Banglore,New Delhi,18:55:00,22:00:00,0,No Info,8016,185
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,15:15:00,1,In-flight meal not included,11087,1120
Spicejet,2019-06-27,Chennai,Kolkata,09:45:00,12:00:00,0,No check-in baggage included,3543,135
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,1,No Info,12471,730
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,04:25:00,1,In-flight meal not included,10262,1165
Air India,2019-03-18,Banglore,New Delhi,13:20:00,16:10:00,0,No Info,4441,170
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,15:30:00,1,No Info,12537,505
Goair,2019-03-24,Kolkata,Banglore,22:25:00,07:40:00,1,No Info,10091,555
Air India,2019-06-03,Banglore,New Delhi,21:05:00,23:55:00,0,No Info,6961,170
Indigo,2019-04-24,Delhi,Cochin,05:35:00,08:50:00,0,No Info,5013,195
Air India,2019-05-18,Delhi,Cochin,05:10:00,08:00:00,0,No Info,6934,170
Multiple Carriers,2019-06-03,Delhi,Cochin,06:40:00,19:00:00,1,No Info,10877,740
Jet Airways,2019-04-18,Banglore,New Delhi,15:15:00,18:10:00,0,No Info,7229,175
Indigo,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,1,No Info,7048,575
Vistara,2019-06-27,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,4878,155
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,23:35:00,1,In-flight meal not included,10844,570
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,2,No Info,15129,1760
Indigo,2019-05-12,Banglore,New Delhi,00:30:00,03:25:00,0,No Info,3943,175
Spicejet,2019-06-06,Delhi,Cochin,06:05:00,11:20:00,1,No Info,5583,315
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,16:10:00,1,No Info,9646,545
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:15:00,1,No Info,7677,645
Indigo,2019-06-01,Delhi,Cochin,05:10:00,10:05:00,1,No Info,6842,295
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,0,In-flight meal not included,4995,90
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,18:50:00,1,No Info,9555,700
Indigo,2019-06-01,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,4077,165
Jet Airways,2019-05-12,Banglore,New Delhi,15:15:00,18:10:00,0,No Info,7229,175
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,1,No Info,12192,600
Air India,2019-04-12,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,5911,165
Air India,2019-06-12,Delhi,Cochin,09:00:00,19:15:00,1,No Info,8372,615
Jet Airways,2019-03-18,Mumbai,Hyderabad,07:10:00,08:35:00,0,In-flight meal not included,4995,85
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,1,No Info,14323,555
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,2,No Info,13014,1375
Air India,2019-06-06,Delhi,Cochin,14:25:00,19:15:00,2,No Info,13591,1730
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2,No Info,18799,2245
Indigo,2019-04-27,Banglore,New Delhi,23:30:00,02:20:00,0,No Info,3943,170
Spicejet,2019-05-21,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,1965,90
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,0,In-flight meal not included,4995,90
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1,No Info,14641,1540
Air India,2019-04-12,Kolkata,Banglore,20:45:00,23:20:00,0,No Info,4460,155
Air India,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,1,No Info,10191,375
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,19:45:00,1,In-flight meal not included,13843,1050
Indigo,2019-05-01,Delhi,Cochin,21:50:00,03:35:00,1,No Info,6349,345
Air Asia,2019-05-01,Kolkata,Banglore,10:20:00,12:55:00,0,No Info,4409,155
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,19:45:00,1,No Info,17024,1530
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,21:00:00,1,No Info,13727,835
Indigo,2019-03-15,Banglore,New Delhi,18:25:00,21:20:00,0,No Info,8855,175
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:00:00,1,No Info,12524,615
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,20:20:00,1,No Info,13555,520
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,12:00:00,1,In-flight meal not included,10844,330
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,1,No Info,13587,720
Spicejet,2019-06-12,Chennai,Kolkata,09:45:00,12:00:00,0,No check-in baggage included,3543,135
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,4842,135
Indigo,2019-04-24,Banglore,New Delhi,23:30:00,02:20:00,0,No Info,3943,170
Jet Airways,2019-06-09,Delhi,Cochin,19:15:00,04:25:00,1,In-flight meal not included,10577,550
Indigo,2019-05-15,Delhi,Cochin,10:35:00,21:00:00,1,No Info,6979,625
Vistara,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,0,No Info,11982,140
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,1,No Info,5264,270
Vistara,2019-03-03,Delhi,Cochin,06:00:00,09:10:00,0,No Info,8001,190
Air India,2019-06-01,Delhi,Cochin,19:45:00,19:15:00,2,No Info,10651,1410
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,19:50:00,1,In-flight meal not included,10844,1640
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,22:20:00,1,No Info,6601,755
Air India,2019-03-21,Delhi,Cochin,19:00:00,19:15:00,1,No Info,6587,1455
Spicejet,2019-03-21,Mumbai,Hyderabad,13:10:00,14:30:00,0,No Info,3173,80
Air India,2019-05-09,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,5228,165
Jet Airways,2019-06-21,Banglore,New Delhi,07:10:00,10:10:00,0,In-flight meal not included,5769,180
Jet Airways,2019-06-06,Delhi,Cochin,08:00:00,19:00:00,1,No Info,14714,660
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,2,No Info,13014,810
Indigo,2019-06-03,Banglore,New Delhi,22:10:00,01:00:00,0,No Info,3359,170
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,0,No Info,6722,175
Indigo,2019-03-18,Kolkata,Banglore,09:35:00,12:20:00,0,No Info,4462,165
Indigo,2019-03-09,Delhi,Cochin,04:55:00,16:10:00,1,No Info,6171,675
Air India,2019-05-21,Kolkata,Banglore,05:50:00,20:25:00,2,No Info,12303,875
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,01:35:00,1,No Info,7695,835
Indigo,2019-06-24,Delhi,Cochin,11:25:00,01:30:00,1,No Info,5684,845
Air India,2019-06-12,Kolkata,Banglore,16:50:00,07:55:00,1,No Info,8366,905
Air India,2019-03-01,Chennai,Kolkata,11:40:00,13:55:00,0,No Info,19630,135
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,05:05:00,1,In-flight meal not included,13502,900
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,10:05:00,1,No Info,14781,775
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,1,No Info,6513,540
Air India,2019-06-01,Delhi,Cochin,07:00:00,19:15:00,1,No Info,9929,735
Multiple Carriers,2019-06-06,Delhi,Cochin,17:50:00,01:30:00,2,No Info,18275,460
Air India,2019-04-09,Delhi,Cochin,06:05:00,09:25:00,1,No Info,4487,1640
Indigo,2019-03-15,Mumbai,Hyderabad,21:20:00,22:45:00,0,No Info,2754,85
Air India,2019-03-27,Mumbai,Hyderabad,06:20:00,07:40:00,0,No Info,2575,80
Spicejet,2019-06-12,Kolkata,Banglore,15:55:00,21:25:00,1,No Info,8224,330
Air India,2019-03-09,Delhi,Cochin,20:30:00,08:15:00,1,No Info,8991,705
Indigo,2019-06-24,Delhi,Cochin,05:35:00,08:50:00,0,No Info,5000,195
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,19:50:00,1,In-flight meal not included,8529,1495
Air India,2019-03-03,Delhi,Cochin,06:05:00,09:25:00,1,No Info,14042,1640
Jet Airways,2019-05-24,Banglore,New Delhi,11:10:00,14:05:00,0,In-flight meal not included,4030,175
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,12:00:00,1,In-flight meal not included,10844,1025
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,4804,160
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,1,In-flight meal not included,7308,480
Indigo,2019-05-12,Banglore,New Delhi,16:55:00,19:55:00,0,No Info,4823,180
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,12:35:00,1,In-flight meal not included,10262,1655
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,1,In-flight meal not included,12898,450
Air India,2019-03-12,Banglore,New Delhi,17:25:00,16:20:00,2,No Info,12778,1375
